Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.0168674666666667	10/11/2023	04:47:39	10/11/2023	04:47:40
Assemble run info 	0.5684061	10/11/2023	04:47:40	10/11/2023	04:48:14
Finish run info 	0.0167786	10/11/2023	04:48:14	10/11/2023	04:48:15
Testing fasta files 	0.03344175	10/11/2023	04:48:15	10/11/2023	04:48:17
Testing raw files 	0.0683416333333333	10/11/2023	04:48:17	10/11/2023	04:48:21
Feature detection 	5.0188731	10/11/2023	04:48:21	10/11/2023	04:53:22
Deisotoping 	3.08546766666667	10/11/2023	04:53:22	10/11/2023	04:56:27
MS/MS preparation 	7.08566305	10/11/2023	04:56:27	10/11/2023	05:03:32
Calculating peak properties 	0.535126883333333	10/11/2023	05:03:32	10/11/2023	05:04:04
Combining apl files for first search 	1.68360383333333	10/11/2023	05:04:04	10/11/2023	05:05:45
Preparing searches 	3.45045468333333	10/11/2023	05:05:45	10/11/2023	05:09:12
MS/MS first search 	32.3108416833333	10/11/2023	05:09:12	10/11/2023	05:41:31
Read search results for recalibration 	6.13593186666667	10/11/2023	05:41:31	10/11/2023	05:47:39
Mass recalibration 	35.9716940833333	10/11/2023	05:47:39	10/11/2023	06:23:38
Calculating masses 	0.3517321	10/11/2023	06:23:38	10/11/2023	06:23:59
MS/MS preparation for main search 	2.8522836	10/11/2023	06:23:59	10/11/2023	06:26:50
Combining apl files for main search 	1.6669355	10/11/2023	06:26:50	10/11/2023	06:28:30
MS/MS main search 	25.9876444166667	10/11/2023	06:28:30	10/11/2023	06:54:29
Preparing combined folder  	0.0667838333333333	10/11/2023	06:54:29	10/11/2023	06:54:33
Correcting errors 	1.03353386666667	10/11/2023	06:54:33	10/11/2023	06:55:35
Reading search engine results 	1.70195121666667	10/11/2023	06:55:35	10/11/2023	06:57:17
Preparing reverse hits 	0.100120333333333	10/11/2023	06:57:17	10/11/2023	06:57:23
Finish search engine results 	0.2183512	10/11/2023	06:57:23	10/11/2023	06:57:36
Filter identifications (MS/MS) 	0.251740383333333	10/11/2023	06:57:36	10/11/2023	06:57:51
Calculating PEP 	4.36714651666667	10/11/2023	06:57:51	10/11/2023	07:02:13
Copying identifications 	0.135012933333333	10/11/2023	07:02:13	10/11/2023	07:02:22
Applying FDR 	0.583492166666667	10/11/2023	07:02:22	10/11/2023	07:02:57
Assembling second peptide MS/MS 	2.9853214	10/11/2023	07:02:57	10/11/2023	07:05:56
Combining second peptide files 	0.733505866666667	10/11/2023	07:05:56	10/11/2023	07:06:40
Second peptide search 	22.8373763	10/11/2023	07:06:40	10/11/2023	07:29:30
Reading search engine results (SP) 	0.968430566666667	10/11/2023	07:29:30	10/11/2023	07:30:28
Finish search engine results (SP) 	0.0683500833333333	10/11/2023	07:30:28	10/11/2023	07:30:32
Filtering identifications (SP) 	0.20176585	10/11/2023	07:30:32	10/11/2023	07:30:44
Applying FDR (SP) 	1.0002168	10/11/2023	07:30:44	10/11/2023	07:31:44
Re-quantification 	0.0183366333333333	10/11/2023	07:31:44	10/11/2023	07:31:45
Reporter quantification 	0.03507985	10/11/2023	07:31:45	10/11/2023	07:31:47
Retention time alignment 	50.1042228	10/11/2023	07:31:47	10/11/2023	08:21:54
Matching between runs 1 	0.418374933333333	10/11/2023	08:21:54	10/11/2023	08:22:19
Matching between runs 2 	0.0334447833333333	10/11/2023	08:22:19	10/11/2023	08:22:21
Matching between runs 3 	0.366806833333333	10/11/2023	08:22:21	10/11/2023	08:22:43
Matching between runs 4 	0.0667838	10/11/2023	08:22:43	10/11/2023	08:22:47
Prepare protein assembly 	0.700176866666667	10/11/2023	08:22:47	10/11/2023	08:23:29
Assembling proteins 	2.66862426666667	10/11/2023	08:23:29	10/11/2023	08:26:09
Assembling unidentified peptides 	0.0183508	10/11/2023	08:26:09	10/11/2023	08:26:10
Finish protein assembly 	9.86770855	10/11/2023	08:26:10	10/11/2023	08:36:02
Updating identifications 	0.068344	10/11/2023	08:36:02	10/11/2023	08:36:06
Label-free preparation 	0.0167788666666667	10/11/2023	08:36:06	10/11/2023	08:36:07
Label-free normalization 	0.0167778	10/11/2023	08:36:07	10/11/2023	08:36:08
Label-free quantification 	2.10194461666667	10/11/2023	08:36:08	10/11/2023	08:38:14
Label-free collect 	0.31680665	10/11/2023	08:38:14	10/11/2023	08:38:33
Estimating complexity 	0.135027783333333	10/11/2023	08:38:33	10/11/2023	08:38:42
Prepare writing tables  	0.03344225	10/11/2023	08:38:42	10/11/2023	08:38:44
Writing tables 	10.3526765666667	10/11/2023	08:38:44	10/11/2023	08:49:05
Finish writing tables  	0.18345565	10/11/2023	08:49:05	10/11/2023	08:49:16
